posteam,season,week,avg_plays_per_drive,total_drives
ARI,2022,1,6.9,10
ARI,2022,2,9.222222222222221,9
ARI,2022,3,9.88888888888889,9
ARI,2022,4,6.083333333333333,12
ARI,2022,5,8.11111111111111,9
ARI,2022,6,6.909090909090909,11
ARI,2022,7,7.333333333333333,9
ARI,2022,8,6.25,12
ARI,2022,9,6.7,10
ARI,2022,10,7.1,10
ARI,2022,11,6.909090909090909,11
ARI,2022,12,6.2727272727272725,11
ARI,2022,14,6.166666666666667,12
ARI,2022,15,5.3076923076923075,13
ARI,2022,16,5.928571428571429,14
ARI,2022,17,8.444444444444445,9
ARI,2022,18,4.333333333333333,12
ARI,2023,1,6.0,11
ARI,2023,2,6.7,10
ARI,2023,3,6.444444444444445,9
ARI,2023,4,10.285714285714286,7
ARI,2023,5,4.6923076923076925,13
ARI,2023,6,7.090909090909091,11
ARI,2023,7,6.363636363636363,11
ARI,2023,8,6.416666666666667,12
ARI,2023,9,4.071428571428571,14
ARI,2023,10,6.7,10
ARI,2023,11,6.2,10
ARI,2023,12,6.545454545454546,11
ARI,2023,13,6.6,10
ARI,2023,15,7.8,10
ARI,2023,16,5.583333333333333,12
ARI,2023,17,9.25,8
ARI,2023,18,8.444444444444445,9
ARI,2024,1,7.111111111111111,9
ARI,2024,2,7.222222222222222,9
ARI,2024,3,5.454545454545454,11
ARI,2024,4,6.888888888888889,9
ARI,2024,5,6.888888888888889,9
ARI,2024,6,6.1,10
ARI,2024,7,6.444444444444445,9
ARI,2024,8,7.444444444444445,9
ARI,2024,9,5.7272727272727275,11
ARI,2024,10,8.285714285714286,7
ARI,2024,12,6.5,10
ARI,2024,13,8.3,10
ARI,2024,14,6.2727272727272725,11
ARI,2024,15,7.555555555555555,9
ARI,2024,16,6.363636363636363,11
ARI,2024,17,7.9,10
ARI,2024,18,5.75,12
ARI,2025,1,7.555555555555555,9
ARI,2025,2,7.285714285714286,7
ARI,2025,3,7.2,10
ARI,2025,4,6.363636363636363,11
ARI,2025,5,5.916666666666667,12
ARI,2025,6,7.4,10
ARI,2025,7,8.222222222222221,9
ATL,2022,1,6.076923076923077,13
ATL,2022,2,5.9,10
ATL,2022,3,6.111111111111111,9
ATL,2022,4,6.444444444444445,9
ATL,2022,5,7.666666666666667,9
ATL,2022,6,7.625,8
ATL,2022,7,5.777777777777778,9
ATL,2022,8,5.615384615384615,13
ATL,2022,9,7.333333333333333,9
ATL,2022,10,5.416666666666667,12
ATL,2022,11,5.888888888888889,9
ATL,2022,12,6.777777777777778,9
ATL,2022,13,7.375,8
ATL,2022,15,7.6,10
ATL,2022,16,8.222222222222221,9
ATL,2022,17,7.222222222222222,9
ATL,2022,18,6.636363636363637,11
ATL,2023,1,4.583333333333333,12
ATL,2023,2,9.11111111111111,9
ATL,2023,3,6.166666666666667,12
ATL,2023,4,6.2,10
ATL,2023,5,7.2727272727272725,11
ATL,2023,6,7.545454545454546,11
ATL,2023,7,7.0,10
ATL,2023,8,5.6923076923076925,13
ATL,2023,9,5.6923076923076925,13
ATL,2023,10,7.777777777777778,9
ATL,2023,12,8.0,8
ATL,2023,13,5.6923076923076925,13
ATL,2023,14,5.846153846153846,13
ATL,2023,15,6.111111111111111,9
ATL,2023,16,7.1,10
ATL,2023,17,5.0,13
ATL,2023,18,5.076923076923077,13
ATL,2024,1,5.4,10
ATL,2024,2,7.75,8
ATL,2024,3,6.555555555555555,9
ATL,2024,4,6.444444444444445,9
ATL,2024,5,7.7272727272727275,11
ATL,2024,6,7.666666666666667,9
ATL,2024,7,7.4,10
ATL,2024,8,6.5,10
ATL,2024,9,5.9,10
ATL,2024,10,7.2727272727272725,11
ATL,2024,11,6.2,10
ATL,2024,13,8.2,10
ATL,2024,14,8.222222222222221,9
ATL,2024,15,6.0,11
ATL,2024,16,8.5,8
ATL,2024,17,7.222222222222222,9
ATL,2024,18,7.9,10
ATL,2025,1,7.6,10
ATL,2025,2,7.0,10
ATL,2025,3,6.454545454545454,11
ATL,2025,4,7.222222222222222,9
ATL,2025,6,6.454545454545454,11
ATL,2025,7,7.111111111111111,9
ATL,2025,8,5.3,10
BAL,2022,1,4.833333333333333,12
BAL,2022,2,5.7,10
BAL,2022,3,5.454545454545454,11
BAL,2022,4,7.555555555555555,9
BAL,2022,5,7.333333333333333,9
BAL,2022,6,7.0,9
BAL,2022,7,7.555555555555555,9
BAL,2022,8,7.090909090909091,11
BAL,2022,9,7.888888888888889,9
BAL,2022,11,6.7272727272727275,11
BAL,2022,12,7.4,10
BAL,2022,13,6.818181818181818,11
BAL,2022,14,7.0,9
BAL,2022,15,7.222222222222222,9
BAL,2022,16,6.222222222222222,9
BAL,2022,17,6.875,8
BAL,2022,18,5.266666666666667,15
BAL,2022,19,7.777777777777778,9
BAL,2023,1,5.909090909090909,11
BAL,2023,2,8.222222222222221,9
BAL,2023,3,5.4,15
BAL,2023,4,5.166666666666667,12
BAL,2023,5,6.083333333333333,12
BAL,2023,6,7.090909090909091,11
BAL,2023,7,6.333333333333333,9
BAL,2023,8,6.0,11
BAL,2023,9,6.416666666666667,12
BAL,2023,10,5.5,10
BAL,2023,11,6.0,11
BAL,2023,12,7.3,10
BAL,2023,14,6.5,12
BAL,2023,15,7.5,10
BAL,2023,16,5.75,12
BAL,2023,17,5.0,11
BAL,2023,18,5.818181818181818,11
BAL,2023,20,7.3,10
BAL,2023,21,6.2,10
BAL,2024,1,7.9,10
BAL,2024,2,5.75,12
BAL,2024,3,6.3,10
BAL,2024,4,5.2727272727272725,11
BAL,2024,5,6.75,12
BAL,2024,6,7.444444444444445,9
BAL,2024,7,5.8,10
BAL,2024,8,6.0,11
BAL,2024,9,5.7,10
BAL,2024,10,5.7272727272727275,11
BAL,2024,11,5.083333333333333,12
BAL,2024,12,7.875,8
BAL,2024,13,7.181818181818182,11
BAL,2024,15,6.666666666666667,9
BAL,2024,16,7.111111111111111,9
BAL,2024,17,6.6,10
BAL,2024,18,6.363636363636363,11
BAL,2024,19,8.222222222222221,9
BAL,2024,20,7.5,8
BAL,2025,1,5.0,11
BAL,2025,2,5.181818181818182,11
BAL,2025,3,5.9,10
BAL,2025,4,5.6,10
BAL,2025,5,4.6,10
BAL,2025,6,8.444444444444445,9
BAL,2025,8,7.111111111111111,9
BUF,2022,1,6.444444444444445,9
BUF,2022,2,6.181818181818182,11
BUF,2022,3,10.222222222222221,9
BUF,2022,4,6.6,10
BUF,2022,5,4.583333333333333,12
BUF,2022,6,7.3,10
BUF,2022,8,6.333333333333333,9
BUF,2022,9,7.222222222222222,9
BUF,2022,10,6.0,13
BUF,2022,11,7.0,10
BUF,2022,12,8.0,10
BUF,2022,13,8.0,9
BUF,2022,14,5.25,12
BUF,2022,15,7.0,11
BUF,2022,16,5.25,12
BUF,2022,18,6.444444444444445,9
BUF,2022,19,4.875,16
BUF,2022,20,8.375,8
BUF,2023,1,6.636363636363637,11
BUF,2023,2,8.222222222222221,9
BUF,2023,3,7.444444444444445,9
BUF,2023,4,5.090909090909091,11
BUF,2023,5,5.454545454545454,11
BUF,2023,6,7.111111111111111,9
BUF,2023,7,6.9,10
BUF,2023,8,7.2,10
BUF,2023,9,6.666666666666667,9
BUF,2023,10,5.090909090909091,11
BUF,2023,11,6.333333333333333,12
BUF,2023,12,7.615384615384615,13
BUF,2023,14,7.6,10
BUF,2023,15,8.125,8
BUF,2023,16,5.7,10
BUF,2023,17,6.166666666666667,12
BUF,2023,18,9.5,8
BUF,2023,19,6.454545454545454,11
BUF,2023,20,10.25,8
BUF,2024,1,6.777777777777778,9
BUF,2024,2,5.222222222222222,9
BUF,2024,3,6.888888888888889,9
BUF,2024,4,5.909090909090909,11
BUF,2024,5,5.75,12
BUF,2024,6,6.888888888888889,9
BUF,2024,7,5.545454545454546,11
BUF,2024,8,7.0,10
BUF,2024,9,7.875,8
BUF,2024,10,7.4,10
BUF,2024,11,8.11111111111111,9
BUF,2024,13,5.7,10
BUF,2024,14,6.333333333333333,9
BUF,2024,15,6.454545454545454,11
BUF,2024,16,7.0,9
BUF,2024,17,5.818181818181818,11
BUF,2024,18,7.0,10
BUF,2024,19,9.25,8
BUF,2024,20,6.888888888888889,9
BUF,2024,21,8.11111111111111,9
BUF,2025,1,7.0,12
BUF,2025,2,7.3,10
BUF,2025,3,6.777777777777778,9
BUF,2025,4,5.7,10
BUF,2025,5,6.5,10
BUF,2025,6,5.454545454545454,11
BUF,2025,8,6.5,10
CAR,2022,1,4.583333333333333,12
CAR,2022,2,6.2,10
CAR,2022,3,5.666666666666667,12
CAR,2022,4,5.181818181818182,11
CAR,2022,5,6.636363636363637,11
CAR,2022,6,5.666666666666667,9
CAR,2022,7,5.7,10
CAR,2022,8,6.153846153846154,13
CAR,2022,9,5.3,10
CAR,2022,10,6.636363636363637,11
CAR,2022,11,5.545454545454546,11
CAR,2022,12,6.545454545454546,11
CAR,2022,14,7.6,10
CAR,2022,15,6.125,8
CAR,2022,16,7.0,10
CAR,2022,17,4.642857142857143,14
CAR,2022,18,5.909090909090909,11
CAR,2023,1,6.5,12
CAR,2023,2,5.909090909090909,11
CAR,2023,3,6.916666666666667,12
CAR,2023,4,8.333333333333334,9
CAR,2023,5,6.9,10
CAR,2023,6,6.636363636363637,11
CAR,2023,8,6.8,10
CAR,2023,9,6.416666666666667,12
CAR,2023,10,7.333333333333333,9
CAR,2023,11,7.111111111111111,9
CAR,2023,12,7.4,10
CAR,2023,13,6.076923076923077,13
CAR,2023,14,7.0,12
CAR,2023,15,6.8,10
CAR,2023,16,6.7,10
CAR,2023,17,5.9,10
CAR,2023,18,6.333333333333333,9
CAR,2024,1,4.6923076923076925,13
CAR,2024,2,4.909090909090909,11
CAR,2024,3,6.909090909090909,11
CAR,2024,4,7.2,10
CAR,2024,5,5.333333333333333,12
CAR,2024,6,6.7,10
CAR,2024,7,5.222222222222222,9
CAR,2024,8,5.909090909090909,11
CAR,2024,9,5.5,10
CAR,2024,10,5.583333333333333,12
CAR,2024,12,8.125,8
CAR,2024,13,6.0,13
CAR,2024,14,8.875,8
CAR,2024,15,5.4,10
CAR,2024,16,6.363636363636363,11
CAR,2024,17,5.3,10
CAR,2024,18,6.8,10
CAR,2025,1,7.0,9
CAR,2025,2,9.0,9
CAR,2025,3,7.5,8
CAR,2025,4,7.1,10
CAR,2025,5,6.090909090909091,11
CAR,2025,6,7.444444444444445,9
CAR,2025,7,6.909090909090909,11
CAR,2025,8,5.909090909090909,11
CHI,2022,1,5.9,10
CHI,2022,2,5.111111111111111,9
CHI,2022,3,5.583333333333333,12
CHI,2022,4,5.75,12
CHI,2022,5,6.625,8
CHI,2022,6,7.3,10
CHI,2022,7,6.818181818181818,11
CHI,2022,8,7.090909090909091,11
CHI,2022,9,8.222222222222221,9
CHI,2022,10,6.2,10
CHI,2022,11,7.2,10
CHI,2022,12,6.777777777777778,9
CHI,2022,13,5.888888888888889,9
CHI,2022,15,5.25,12
CHI,2022,16,4.923076923076923,13
CHI,2022,17,4.833333333333333,12
CHI,2022,18,5.777777777777778,9
CHI,2023,1,6.5,12
CHI,2023,2,5.7,10
CHI,2023,3,5.7,10
CHI,2023,4,7.2,10
CHI,2023,5,6.454545454545454,11
CHI,2023,6,6.363636363636363,11
CHI,2023,7,8.875,8
CHI,2023,8,7.222222222222222,9
CHI,2023,9,6.181818181818182,11
CHI,2023,10,7.090909090909091,11
CHI,2023,11,7.6,10
CHI,2023,12,7.3,10
CHI,2023,14,5.916666666666667,12
CHI,2023,15,5.4,15
CHI,2023,16,6.7272727272727275,11
CHI,2023,17,6.153846153846154,13
CHI,2023,18,8.666666666666666,6
CHI,2024,1,6.666666666666667,9
CHI,2024,2,6.166666666666667,12
CHI,2024,3,7.416666666666667,12
CHI,2024,4,6.444444444444445,9
CHI,2024,5,6.545454545454546,11
CHI,2024,6,6.777777777777778,9
CHI,2024,8,6.181818181818182,11
CHI,2024,9,6.909090909090909,11
CHI,2024,10,6.181818181818182,11
CHI,2024,11,10.571428571428571,7
CHI,2024,12,6.384615384615385,13
CHI,2024,13,6.3,10
CHI,2024,14,5.9,10
CHI,2024,15,6.8,10
CHI,2024,16,7.0,9
CHI,2024,17,6.6,10
CHI,2024,18,5.7272727272727275,11
CHI,2025,1,5.916666666666667,12
CHI,2025,2,5.666666666666667,12
CHI,2025,3,6.666666666666667,9
CHI,2025,4,7.1,10
CHI,2025,6,6.6,10
CHI,2025,7,6.0,12
CHI,2025,8,7.555555555555555,9
CIN,2022,1,7.214285714285714,14
CIN,2022,2,8.333333333333334,9
CIN,2022,3,6.363636363636363,11
CIN,2022,4,6.6,10
CIN,2022,5,7.111111111111111,9
CIN,2022,6,7.25,8
CIN,2022,7,7.444444444444445,9
CIN,2022,8,5.5,10
CIN,2022,9,7.4,10
CIN,2022,11,5.75,12
CIN,2022,12,6.9,10
CIN,2022,13,8.375,8
CIN,2022,14,5.818181818181818,11
CIN,2022,15,6.090909090909091,11
CIN,2022,16,7.545454545454546,11
CIN,2022,18,5.615384615384615,13
CIN,2022,19,8.285714285714286,7
CIN,2022,20,9.0,8
CIN,2022,21,6.9,10
CIN,2023,1,4.923076923076923,13
CIN,2023,2,8.714285714285714,7
CIN,2023,3,6.666666666666667,12
CIN,2023,4,7.0,8
CIN,2023,5,6.916666666666667,12
CIN,2023,6,5.9,10
CIN,2023,8,6.6,10
CIN,2023,9,7.555555555555555,9
CIN,2023,10,5.5,12
CIN,2023,11,6.090909090909091,11
CIN,2023,12,5.222222222222222,9
CIN,2023,13,6.333333333333333,12
CIN,2023,14,5.7272727272727275,11
CIN,2023,15,6.636363636363637,11
CIN,2023,16,6.0,11
CIN,2023,17,7.6,10
CIN,2023,18,5.666666666666667,12
CIN,2024,1,6.625,8
CIN,2024,2,6.7,10
CIN,2024,3,9.142857142857142,7
CIN,2024,4,6.7,10
CIN,2024,5,6.0,12
CIN,2024,6,5.7,10
CIN,2024,7,4.916666666666667,12
CIN,2024,8,6.555555555555555,9
CIN,2024,9,6.7272727272727275,11
CIN,2024,10,7.181818181818182,11
CIN,2024,11,6.6923076923076925,13
CIN,2024,13,6.0,10
CIN,2024,14,6.8,10
CIN,2024,15,7.222222222222222,9
CIN,2024,16,6.1,10
CIN,2024,17,8.6,10
CIN,2024,18,7.7,10
CIN,2025,1,5.6,10
CIN,2025,2,6.2727272727272725,11
CIN,2025,3,4.538461538461538,13
CIN,2025,4,5.666666666666667,9
CIN,2025,5,5.25,12
CIN,2025,6,7.555555555555555,9
CIN,2025,7,7.6,10
CIN,2025,8,6.2,10
CLE,2022,1,7.2727272727272725,11
CLE,2022,2,7.555555555555555,9
CLE,2022,3,7.7,10
CLE,2022,4,7.6,10
CLE,2022,5,6.9,10
CLE,2022,6,6.166666666666667,12
CLE,2022,7,6.2,10
CLE,2022,8,6.454545454545454,11
CLE,2022,10,7.875,8
CLE,2022,11,7.2,10
CLE,2022,12,6.384615384615385,13
CLE,2022,13,5.5,12
CLE,2022,14,6.7272727272727275,11
CLE,2022,15,7.555555555555555,9
CLE,2022,16,7.3,10
CLE,2022,17,6.111111111111111,9
CLE,2022,18,6.1,10
CLE,2023,1,5.928571428571429,14
CLE,2023,2,6.066666666666666,15
CLE,2023,3,8.0,9
CLE,2023,4,6.083333333333333,12
CLE,2023,6,6.5,12
CLE,2023,7,5.333333333333333,15
CLE,2023,8,7.181818181818182,11
CLE,2023,9,5.714285714285714,14
CLE,2023,10,8.1,10
CLE,2023,11,6.75,12
CLE,2023,12,6.818181818181818,11
CLE,2023,13,6.333333333333333,12
CLE,2023,14,5.0,16
CLE,2023,15,4.875,16
CLE,2023,16,6.666666666666667,12
CLE,2023,17,5.166666666666667,12
CLE,2023,18,4.916666666666667,12
CLE,2023,19,6.166666666666667,12
CLE,2024,1,5.571428571428571,14
CLE,2024,2,8.11111111111111,9
CLE,2024,3,5.384615384615385,13
CLE,2024,4,7.0,9
CLE,2024,5,5.230769230769231,13
CLE,2024,6,7.625,8
CLE,2024,7,6.538461538461538,13
CLE,2024,8,6.636363636363637,11
CLE,2024,9,6.461538461538462,13
CLE,2024,11,7.090909090909091,11
CLE,2024,12,6.1,10
CLE,2024,13,6.2,15
CLE,2024,14,6.333333333333333,12
CLE,2024,15,5.0,13
CLE,2024,16,6.7,10
CLE,2024,17,6.833333333333333,12
CLE,2024,18,5.454545454545454,11
CLE,2025,1,7.5,10
CLE,2025,2,6.583333333333333,12
CLE,2025,3,6.4,10
CLE,2025,4,5.615384615384615,13
CLE,2025,5,6.25,12
CLE,2025,6,9.11111111111111,9
CLE,2025,7,5.9,10
CLE,2025,8,4.833333333333333,12
DAL,2022,1,6.9,10
DAL,2022,2,6.5,10
DAL,2022,3,6.7,10
DAL,2022,4,5.153846153846154,13
DAL,2022,5,5.363636363636363,11
DAL,2022,6,6.8,10
DAL,2022,7,6.3,10
DAL,2022,8,6.333333333333333,9
DAL,2022,10,6.461538461538462,13
DAL,2022,11,7.6,10
DAL,2022,12,7.777777777777778,9
DAL,2022,13,5.75,12
DAL,2022,14,6.818181818181818,11
DAL,2022,15,6.666666666666667,12
DAL,2022,16,7.5,10
DAL,2022,17,7.181818181818182,11
DAL,2022,18,5.066666666666666,15
DAL,2022,19,7.888888888888889,9
DAL,2022,20,6.6,10
DAL,2023,1,6.666666666666667,9
DAL,2023,2,8.0,11
DAL,2023,3,10.0,8
DAL,2023,4,7.0,10
DAL,2023,5,4.153846153846154,13
DAL,2023,6,7.222222222222222,9
DAL,2023,8,7.111111111111111,9
DAL,2023,9,8.11111111111111,9
DAL,2023,10,6.5,12
DAL,2023,11,7.777777777777778,9
DAL,2023,12,6.111111111111111,9
DAL,2023,13,9.11111111111111,9
DAL,2023,14,8.777777777777779,9
DAL,2023,15,7.875,8
DAL,2023,16,8.125,8
DAL,2023,17,6.090909090909091,11
DAL,2023,18,8.0,9
DAL,2023,19,8.545454545454545,11
DAL,2024,1,5.3076923076923075,13
DAL,2024,2,7.0,10
DAL,2024,3,7.090909090909091,11
DAL,2024,4,7.0,8
DAL,2024,5,8.777777777777779,9
DAL,2024,6,6.363636363636363,11
DAL,2024,8,5.7272727272727275,11
DAL,2024,9,7.181818181818182,11
DAL,2024,10,4.923076923076923,13
DAL,2024,11,6.916666666666667,12
DAL,2024,12,5.461538461538462,13
DAL,2024,13,6.636363636363637,11
DAL,2024,14,6.5,10
DAL,2024,15,6.7272727272727275,11
DAL,2024,16,5.636363636363637,11
DAL,2024,17,6.5,10
DAL,2024,18,8.3,10
DAL,2025,1,7.375,8
DAL,2025,2,6.5,14
DAL,2025,3,7.2,10
DAL,2025,4,7.2,10
DAL,2025,5,5.636363636363637,11
DAL,2025,6,7.125,8
DAL,2025,7,5.5,12
DAL,2025,8,6.7272727272727275,11
DEN,2022,1,8.625,8
DEN,2022,2,7.2,10
DEN,2022,3,6.153846153846154,13
DEN,2022,4,4.909090909090909,11
DEN,2022,5,6.5,12
DEN,2022,6,5.909090909090909,11
DEN,2022,7,6.916666666666667,12
DEN,2022,8,5.5,12
DEN,2022,10,6.833333333333333,12
DEN,2022,11,7.0,10
DEN,2022,12,5.076923076923077,13
DEN,2022,13,5.7272727272727275,11
DEN,2022,14,5.846153846153846,13
DEN,2022,15,6.0,12
DEN,2022,16,6.6,10
DEN,2022,17,6.0,12
DEN,2022,18,5.666666666666667,12
DEN,2023,1,10.166666666666666,6
DEN,2023,2,6.090909090909091,11
DEN,2023,3,5.076923076923077,13
DEN,2023,4,6.5,8
DEN,2023,5,5.25,12
DEN,2023,6,5.5,10
DEN,2023,7,6.888888888888889,9
DEN,2023,8,6.454545454545454,11
DEN,2023,10,6.5,12
DEN,2023,11,6.1,10
DEN,2023,12,5.909090909090909,11
DEN,2023,13,5.416666666666667,12
DEN,2023,14,5.916666666666667,12
DEN,2023,15,6.7,10
DEN,2023,16,5.285714285714286,14
DEN,2023,17,7.4,10
DEN,2023,18,7.0,9
DEN,2024,1,5.333333333333333,15
DEN,2024,2,5.818181818181818,11
DEN,2024,3,6.9,10
DEN,2024,4,5.333333333333333,12
DEN,2024,5,5.636363636363637,11
DEN,2024,6,6.0,10
DEN,2024,7,6.6,10
DEN,2024,8,6.7272727272727275,11
DEN,2024,9,7.777777777777778,9
DEN,2024,10,6.888888888888889,9
DEN,2024,11,7.111111111111111,9
DEN,2024,12,6.7272727272727275,11
DEN,2024,13,5.5,12
DEN,2024,15,4.642857142857143,14
DEN,2024,16,7.0,10
DEN,2024,17,6.5,10
DEN,2024,18,9.25,8
DEN,2024,19,5.875,8
DEN,2025,1,6.166666666666667,12
DEN,2025,2,6.444444444444445,9
DEN,2025,3,5.090909090909091,11
DEN,2025,4,8.1,10
DEN,2025,5,7.2727272727272725,11
DEN,2025,6,6.3,10
DEN,2025,7,6.461538461538462,13
DEN,2025,8,5.9,10
DET,2022,1,6.9,10
DET,2022,2,5.076923076923077,13
DET,2022,3,6.75,12
DET,2022,4,6.454545454545454,11
DET,2022,5,7.222222222222222,9
DET,2022,7,5.545454545454546,11
DET,2022,8,7.625,8
DET,2022,9,7.5,8
DET,2022,10,6.3,10
DET,2022,11,6.0,11
DET,2022,12,8.0,9
DET,2022,13,9.5,8
DET,2022,14,7.4,10
DET,2022,15,8.11111111111111,9
DET,2022,16,6.7,10
DET,2022,17,6.545454545454546,11
DET,2022,18,6.6,10
DET,2023,1,6.454545454545454,11
DET,2023,2,6.0,11
DET,2023,3,6.2727272727272725,11
DET,2023,4,6.5,12
DET,2023,5,5.9,10
DET,2023,6,6.818181818181818,11
DET,2023,7,7.7,10
DET,2023,8,7.083333333333333,12
DET,2023,10,6.4,10
DET,2023,11,6.777777777777778,9
DET,2023,12,7.363636363636363,11
DET,2023,13,5.166666666666667,12
DET,2023,14,6.090909090909091,11
DET,2023,15,6.8,10
DET,2023,16,7.9,10
DET,2023,17,6.454545454545454,11
DET,2023,18,5.636363636363637,11
DET,2023,19,7.0,8
DET,2023,20,7.3,10
DET,2023,21,7.5,10
DET,2024,1,6.090909090909091,11
DET,2024,2,7.909090909090909,11
DET,2024,3,6.454545454545454,11
DET,2024,4,5.1,10
