season,week,home_team,away_team,home_pass_mismatch_z,away_pass_mismatch_z,home_run_mismatch_z,away_run_mismatch_z
2024,1,PHI,GB,0.8820082159986804,-1.0127538614122547,1.7860978941385477,-1.701938992137244
2024,1,ATL,PIT,-1.8953524864958156,0.5539904659178918,1.2586060304821491,0.18779365136504111
2024,1,CHI,TEN,1.533919950431911,-0.8348727942931137,-0.7241468056830298,-1.9828854762284738
2024,1,CIN,NE,-0.4732742013022132,-1.210508404569431,-0.9098420830958894,-2.263654531395796
2024,1,MIA,JAX,0.3615402827096774,0.1201419922967909,-0.9342545580166075,-1.7781073966756233
2024,1,NO,CAR,0.20215547169553183,0.7001862921149521,3.052389939029032,2.5512037688470524
2024,1,NYG,MIN,-0.6903896611203275,-0.773201288724554,-1.6696158475399479,0.052136076456329866
2024,1,LAC,LV,1.1594150501133682,0.09652428520659279,-0.9160272132077933,-1.0551212423435294
2024,1,SEA,DEN,-1.7646403212066173,1.837571729479858,-1.0076694117026703,0.16939619008347767
2024,1,TB,WAS,1.946212599826986,-0.4240101604328691,1.4790182705293657,-1.3637465391097572
2024,1,SF,NYJ,0.9058919724907091,0.31370625737516444,2.2233279909518053,1.2642734987246511
2024,2,MIA,BUF,-0.825765361690888,0.9925440621618333,-0.3951553148483813,-0.7767101497748145
2024,2,CAR,LAC,0.046347710712841717,2.683161444171934,-0.08650044138804358,2.3788722571372958
2024,2,DAL,NO,-0.1781893886202922,-3.125828867914331,1.5152537152281698,1.944643431540641
2024,2,DET,TB,0.47534410459219667,1.4879928920245797,1.2402419790380717,-0.7924488494902133
2024,2,GB,IND,1.6944202959033925,0.7712516836202689,-1.6197508826843583,1.6909617586080303
2024,2,MIN,SF,0.2049111033597017,1.0774497129164207,0.9976843934890185,0.4316876625909485
2024,2,NE,SEA,-1.9732051125865242,0.004625162507288727,-2.1692242743754653,-0.06152638624226381
2024,2,TEN,NYJ,-0.5347514599222298,1.0880593160492453,-1.3591654494125316,-0.6119016968261695
2024,2,WAS,NYG,-1.5021670176368718,-1.1735263627602177,-0.9995170128996379,0.9327822229736236
2024,2,DEN,PIT,-0.5958558558012217,-1.6004482630187358,-0.44809624955473354,0.03535468654253482
2024,2,KC,CIN,0.7936943092007703,-2.1426972612309543,0.5238206510258405,-2.442656669732306
2024,2,PHI,ATL,2.046726995675404,-1.851920494490928,0.9963558040750626,0.5613747242205005
2024,3,NYJ,NE,1.0960058420123018,-1.4625799701101776,0.9677210992260528,-1.4278261316865484
2024,3,IND,CHI,0.7028993055473288,0.8717460202328113,1.3385239512801077,-0.9932135453476372
2024,3,NO,PHI,-4.363974369645995,1.2457749457272285,-0.9004229292205375,3.0363895243426082
2024,3,PIT,LAC,-0.8741740477321706,-1.9820713395323044,-0.435251874806773,-0.9772728831927674
2024,3,TB,DEN,1.0882798187882359,2.2199054007567627,-0.28469642820163854,-0.0027049124441395622
2024,3,TEN,GB,-0.7194067736305622,2.3960206033782248,-1.4220252467515617,-1.2061980732114816
2024,3,LV,CAR,2.4451903372116615,0.916031099557032,2.6724663945865914,0.38751913272577654
2024,3,SEA,MIA,-0.6471898448935248,-0.23114962940241443,-1.5670580812521149,-1.0097578388286943
2024,3,ATL,KC,-0.067074053348683,1.4326776284860834,1.0774969609125051,0.5952015245241896
2024,3,BUF,JAX,1.3181053903417324,-0.7119147257178786,0.3106691787535473,-0.19532854624427176
2024,3,CIN,WAS,-1.301569322747999,0.004919315411650804,0.04293585646167819,-1.1250905665782986
2024,4,NYG,DAL,-2.3247775487928255,-1.439935998876316,1.0783830603726998,-0.13551578948387544
2024,4,ATL,NO,1.1503433756728914,-0.6371599965543022,3.4527932281198774,0.04516785515122221
2024,4,CAR,CIN,0.9047555637793514,0.777194935407586,0.6401018753909486,1.216593901671462
2024,4,GB,MIN,2.0144823344919005,0.2288243285595116,-1.5367847241979768,0.4801012431401538
2024,4,IND,PIT,-1.881925809296521,-0.49021138734362396,0.5085805255690197,-0.7851917661914678
2024,4,NYJ,DEN,-0.6600145673225808,2.3450180126832634,-0.09625933203726844,0.8168262363338241
2024,4,TB,PHI,-0.5066389746254796,1.0191700895652502,-1.3066880875611453,0.8601673260669362
2024,4,SF,NE,1.4740138669583014,-1.6829871428693701,2.141804967053384,-1.0329905102394252
2024,4,LAC,KC,-0.1987438064431073,-0.02280577859074573,-1.2742403676768492,-0.20548949653003123
2024,4,MIA,TEN,0.7555624222812052,-0.6488063836482063,-1.769605466110613,-2.8461587098107994
2024,4,DET,SEA,0.1586828259089813,-1.322546601770402,1.45064371949171,-1.402043977231914
2024,5,ATL,TB,0.9016335211175246,3.274070791746115,1.500008184713621,-0.427831620370776
2024,5,MIN,NYJ,0.441191985124009,0.7179812109025575,0.43959352300062227,-1.003866949945953
2024,5,CHI,CAR,2.93286614568342,0.2964847798409753,2.6675014604798744,0.7462724083108692
2024,5,JAX,IND,0.11425320297068835,1.1779686792686963,-2.2094876476487926,1.1843054589541941
2024,5,NE,MIA,-1.607543507205454,0.7971307387964846,-3.3101169048933174,-0.5615811204659523
2024,5,DEN,LV,2.634122084646577,-0.645840529314426,-0.4452470813031432,-0.6650587835602202
2024,5,SEA,NYG,-1.7750551525389868,-1.2951632412742633,-0.875291001908913,-0.8824947589668988
2024,5,PIT,DAL,-1.9588245236790565,-3.3829165450712413,1.9102217017132244,-0.9971422598403867
2024,5,KC,NO,0.6427568763403994,-2.7215256008033344,2.272557407082597,-0.7660075667905175
2024,6,SEA,SF,-0.7097406829784361,0.43780419597309145,0.20149487151844392,1.2456274187844973
2024,6,CHI,JAX,1.1419224035213271,-0.025187736403307195,-0.03985753886651121,-0.9533072831607727
2024,6,NO,TB,-1.6032932438581986,2.3031061994560305,-0.22952296405613676,1.5023105463799429
2024,6,TEN,IND,-0.6627276346692828,1.4596645485165225,-3.206625392160726,0.1771438115992766
2024,6,DEN,LAC,1.679913930087467,-0.3492602942968388,-0.828359952795395,-0.837722924391785
2024,6,LV,PIT,-2.180344764903429,-0.04182508911500915,-1.0067189740422837,-0.35526392297707265
2024,6,CAR,ATL,1.463839927236702,2.693352997723418,0.4320751408135069,4.4336801885557815
2024,6,DAL,DET,-1.065032338019789,-0.9101843227394547,-1.0381063052812345,3.094769993675744
2024,6,NYG,CIN,-0.5183212488384497,-2.1031259743665185,-0.8754206301325456,-1.5919364049097169
2024,6,NYJ,BUF,-0.4630216052579502,1.0819438864096713,0.6600267199868034,0.6299808265037696
2024,7,NO,DEN,-2.7379676959648913,2.36000822934888,-0.040581360912319175,1.938430228782095
2024,7,JAX,NE,0.7935204559728865,-1.2789767501394511,-0.12494334285133679,-1.8761323224622204
2024,7,ATL,SEA,0.5331420352477151,0.3845326725526197,1.657227767965414,-0.8474235752905468
2024,7,BUF,TEN,1.620731773725216,-1.5181039813761268,-0.6419512283707525,-1.2341336377279206
2024,7,IND,MIA,0.8088130964860306,0.028573069442208332,0.2139465102045326,-2.047248788274322
2024,7,MIN,DET,-0.40489393508999877,0.7178497895566904,-0.7074958511685585,0.4156807919808645
2024,7,NYG,PHI,-3.620443102678224,-0.09029562425990145,-1.7942730908511133,1.2073013432706992
2024,7,WAS,CAR,1.4586665055225794,0.2629826318116004,1.83867209396724,2.327959900425465
2024,7,SF,KC,-0.20757488730678864,0.27614060987037303,0.5708622998880449,1.6969381293038155
2024,7,PIT,NYJ,-0.3356778791353057,-2.344919031053691,0.9707198317211416,-0.4388071419914227
2024,8,CIN,PHI,-3.8148875729275673,1.4083976312922397,-2.8244003124836485,0.9795849838666664
2024,8,DET,TEN,1.1429149463049821,-1.3234872101841098,0.6704171447387895,-2.700379566892865
2024,8,JAX,GB,0.07876911492404952,2.0244368116269773,-0.376156579080781,-0.4589636772307999
2024,8,NE,NYJ,-1.4553561707781888,1.0945874382997407,-1.4654107767573632,0.8161841238554322
2024,8,TB,ATL,3.2093862411618943,0.9125400028874601,-0.32568725293429046,1.411005518887166
2024,8,LAC,NO,1.0094832842212758,-2.084311680365979,1.2697175990058565,-0.6965445965790045
2024,8,SEA,BUF,-1.5170399919510418,0.6825595278071268,-0.14995299807609297,0.013605021908310089
2024,8,DEN,CAR,4.092440464255273,-0.6111723103169537,2.9668469031048317,0.434695951739758
2024,8,LV,KC,-0.42979243670606876,0.8164008300871445,-1.1487553086219187,0.0746920798613292
2024,8,WAS,CHI,-0.5737584461605814,0.7068901722600953,-1.044804423509855,1.546992952720851
2024,8,SF,DAL,-0.5873726809332749,-0.47699722713623777,3.1607258087704206,0.8063783852436117
2024,8,PIT,NYG,-1.5051705209774469,-3.7062265392113853,0.33236905301711367,-1.302612363309946
